dátum;nagydíj;helyezés;befejezett_kör;pont;konstruktőr;Célba_ért;körhátrány;Hiba_oka
2005.04.03;Bahreini Nagydíj;3;57;6;McLaren;I;0;
2005.04.24;San Marinói Nagydíj;;9;0;McLaren;N;;Hajtóműtengely
2005.05.08;Spanyol Nagydíj;1;66;10;McLaren;I;0;
2005.05.22;Monacói Nagydíj;1;78;10;McLaren;I;0;
2005.05.29;Európai Nagydíj;11;58;0;McLaren;N;;Baleset
2005.06.12;Kanadai Nagydíj;1;70;10;McLaren;I;0;
2005.06.19;Egyesült Államok Nagydíja;;0;0;McLaren;N;;Visszalépett
2005.07.03;Francia Nagydíj;2;70;8;McLaren;I;0;
2005.07.10;Brit Nagydíj;3;60;6;McLaren;I;0;
2005.07.24;Német Nagydíj;;32;0;McLaren;N;;Hidraulika
2005.07.31;Magyar Nagydíj;1;70;10;McLaren;I;0;
2005.08.21;Török Nagydíj;1;58;10;McLaren;I;0;
2005.09.04;Olasz Nagydíj;4;53;5;McLaren;I;0;
2005.09.11;Belga Nagydíj;1;44;10;McLaren;I;0;
2005.09.25;Brazil Nagydíj;2;71;8;McLaren;I;0;
2005.10.09;Japán Nagydíj;1;53;10;McLaren;I;0;
2005.10.16;Kínai Nagydíj;2;56;8;McLaren;I;0;
2006.03.12;Bahreini Nagydíj;3;57;6;McLaren;I;0;
2006.03.19;Malajziai Nagydíj;;0;0;McLaren;N;;Baleset
2006.04.02;Ausztrál Nagydíj;2;57;8;McLaren;I;0;
2006.04.23;San Marinói Nagydíj;5;62;4;McLaren;I;0;
2006.05.07;Európai Nagydíj;4;60;5;McLaren;I;0;
2006.05.14;Spanyol Nagydíj;5;66;4;McLaren;I;0;
2006.05.28;Monacói Nagydíj;;50;0;McLaren;N;;Hőpajzs tűz
2006.06.11;Brit Nagydíj;3;60;6;McLaren;I;0;
2006.06.25;Kanadai Nagydíj;3;70;6;McLaren;I;0;
2006.07.02;Egyesült Államok Nagydíja;;0;0;McLaren;N;;Baleset
